scenario,family,truth,judge,kind,rep_or_policy,model,verdict,score,correct,latency,error,note,rationale
noise_equivalent_016,noise_equivalent,PASS,hybrid:or,hybrid,or,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
noise_equivalent_016,noise_equivalent,PASS,hybrid:and,hybrid,and,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_017,noise_equivalent,PASS,statistical,statistical,,-,PASS,100.0,1,0.03,,,
noise_equivalent_017,noise_equivalent,PASS,ai:summary,ai,summary,qwen-llm,FAIL,45.0,0,5.24,,,Canary shows worse tail latency and max duration compared to control.
noise_equivalent_017,noise_equivalent,PASS,ai:raw,ai,raw,qwen-llm,FAIL,45.0,0,2.92,,,Canary shows significantly higher maximum latencies and worse tail latency compared to control.
noise_equivalent_017,noise_equivalent,PASS,hybrid:gated,hybrid,gated,qwen-llm,FAIL,45.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_017,noise_equivalent,PASS,hybrid:or,hybrid,or,qwen-llm,FAIL,45.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_017,noise_equivalent,PASS,hybrid:and,hybrid,and,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
noise_equivalent_017,noise_equivalent,PASS,ai:summary,ai,summary,phi4-llm,PASS,75.0,1,9.53,,,"The canary shows higher variability (stddev) and worse tail metrics (p95, p99, max), indicating potential instability despite similar mean/median."
noise_equivalent_017,noise_equivalent,PASS,ai:raw,ai,raw,phi4-llm,FAIL,65.0,0,6.04,,,"The canary shows increased variance and higher maximum request durations compared to the control, indicating potential instability. While median values are similar, the worse tail metrics suggest a ri"
noise_equivalent_017,noise_equivalent,PASS,hybrid:gated,hybrid,gated,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
noise_equivalent_017,noise_equivalent,PASS,hybrid:or,hybrid,or,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
noise_equivalent_017,noise_equivalent,PASS,hybrid:and,hybrid,and,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
noise_equivalent_017,noise_equivalent,PASS,ai:summary,ai,summary,olmo2-llm,FAIL,20.0,0,5.17,,,"The canary shows higher variance and an upward trend in http_request_duration_seconds_g0037, indicating instability compared to the control. This suggests potential issues that need further investigat"
noise_equivalent_017,noise_equivalent,PASS,ai:raw,ai,raw,olmo2-llm,FAIL,45.0,0,3.31,,,"Higher variance and p95 value in the canary suggest instability compared to the stable control, leading to a fail verdict."
noise_equivalent_017,noise_equivalent,PASS,hybrid:gated,hybrid,gated,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_017,noise_equivalent,PASS,hybrid:or,hybrid,or,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_017,noise_equivalent,PASS,hybrid:and,hybrid,and,olmo2-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
noise_equivalent_017,noise_equivalent,PASS,ai:summary,ai,summary,mistral-nemo-llm,FAIL,45.0,0,11.35,,,Canary shows higher latency and instability compared to control.
noise_equivalent_017,noise_equivalent,PASS,ai:raw,ai,raw,mistral-nemo-llm,FAIL,45.0,0,4.62,,,"Canary has higher max value (0.3065 vs 0.2468) and more spread, failing the stability criterion."
noise_equivalent_017,noise_equivalent,PASS,hybrid:gated,hybrid,gated,mistral-nemo-llm,FAIL,45.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_017,noise_equivalent,PASS,hybrid:or,hybrid,or,mistral-nemo-llm,FAIL,45.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_017,noise_equivalent,PASS,hybrid:and,hybrid,and,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
noise_equivalent_017,noise_equivalent,PASS,ai:summary,ai,summary,deepseek-r1-llm,FAIL,20.0,0,17.55,,,"The experiment shows increased variability and worse performance at the high end, indicating instability."
noise_equivalent_017,noise_equivalent,PASS,ai:raw,ai,raw,deepseek-r1-llm,FAIL,67.0,0,11.42,,,"The canary shows increased spread, variance, and higher max values compared to control, indicating instability."
noise_equivalent_017,noise_equivalent,PASS,hybrid:gated,hybrid,gated,deepseek-r1-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_017,noise_equivalent,PASS,hybrid:or,hybrid,or,deepseek-r1-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_017,noise_equivalent,PASS,hybrid:and,hybrid,and,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
noise_equivalent_017,noise_equivalent,PASS,ai:plot,ai,plot,moondream-vlm,FAIL,0.8,0,2.55,,,AI judge plot/moondream-vlm
noise_equivalent_017,noise_equivalent,PASS,hybrid:gated,hybrid,gated,moondream-vlm,FAIL,0.8,0,0.0,,ai=plot/Fail;ai,
noise_equivalent_017,noise_equivalent,PASS,hybrid:or,hybrid,or,moondream-vlm,FAIL,0.8,0,0.0,,ai=plot/Fail;ai,
noise_equivalent_017,noise_equivalent,PASS,hybrid:and,hybrid,and,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Fail;statistical,
noise_equivalent_017,noise_equivalent,PASS,ai:plot,ai,plot,granite-vision-vlm,FAIL,50.0,0,6.71,,,"The canary shows a marginal improvement over the control, with a lower median and less spread in the data. However, there is still room for improvement as the p90/p95/p99/max values are higher than th"
noise_equivalent_017,noise_equivalent,PASS,hybrid:gated,hybrid,gated,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_017,noise_equivalent,PASS,hybrid:or,hybrid,or,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
noise_equivalent_017,noise_equivalent,PASS,hybrid:and,hybrid,and,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_017,noise_equivalent,PASS,ai:plot,ai,plot,minicpm-v-vlm,FAIL,50.0,0,8.0,,,"While both mean and median are similar between the baseline and the experiment, there is an increase in spread/variance as indicated by the standard deviation. Additionally, the p90, p95, and p99 valu"
noise_equivalent_017,noise_equivalent,PASS,hybrid:gated,hybrid,gated,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_017,noise_equivalent,PASS,hybrid:or,hybrid,or,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
noise_equivalent_017,noise_equivalent,PASS,hybrid:and,hybrid,and,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_018,noise_equivalent,PASS,statistical,statistical,,-,PASS,100.0,1,0.03,,,
noise_equivalent_018,noise_equivalent,PASS,ai:summary,ai,summary,qwen-llm,PASS,95.0,1,5.3,,,Canary shows improved median and tail latency with reduced variance.
noise_equivalent_018,noise_equivalent,PASS,ai:raw,ai,raw,qwen-llm,FAIL,45.0,0,2.83,,,"Canary shows higher variance and longer tail, indicating increased instability."
noise_equivalent_018,noise_equivalent,PASS,hybrid:gated,hybrid,gated,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
noise_equivalent_018,noise_equivalent,PASS,hybrid:or,hybrid,or,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
noise_equivalent_018,noise_equivalent,PASS,hybrid:and,hybrid,and,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
noise_equivalent_018,noise_equivalent,PASS,ai:summary,ai,summary,phi4-llm,PASS,85.0,1,10.3,,,"The canary demonstrates improved performance across all latency metrics (mean, median, p90, p95, p99, max) with reduced variance. The positive slope is minimal and does not indicate instability."
noise_equivalent_018,noise_equivalent,PASS,ai:raw,ai,raw,phi4-llm,FAIL,65.0,0,5.86,,,"The canary shows increased variance and higher maximum request durations compared to the control, indicating potential instability despite similar median values. The overall performance is marginal du"
noise_equivalent_018,noise_equivalent,PASS,hybrid:gated,hybrid,gated,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
noise_equivalent_018,noise_equivalent,PASS,hybrid:or,hybrid,or,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
noise_equivalent_018,noise_equivalent,PASS,hybrid:and,hybrid,and,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
noise_equivalent_018,noise_equivalent,PASS,ai:summary,ai,summary,olmo2-llm,FAIL,20.0,0,5.04,,,"The canary shows higher p95 and a positive slope, indicating instability compared to the control. This suggests potential issues that need further investigation before promotion."
noise_equivalent_018,noise_equivalent,PASS,ai:raw,ai,raw,olmo2-llm,FAIL,45.0,0,3.22,,,"Higher variance and p95 value suggest instability in the canary's performance, leading to a fail verdict."
noise_equivalent_018,noise_equivalent,PASS,hybrid:gated,hybrid,gated,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_018,noise_equivalent,PASS,hybrid:or,hybrid,or,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_018,noise_equivalent,PASS,hybrid:and,hybrid,and,olmo2-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
noise_equivalent_018,noise_equivalent,PASS,ai:summary,ai,summary,mistral-nemo-llm,PASS,75.0,1,11.3,,,Canary shows higher tail latencies and an upward trend in request durations.
noise_equivalent_018,noise_equivalent,PASS,ai:raw,ai,raw,mistral-nemo-llm,PASS,75.0,1,4.63,,,"Canary has higher max value (0.252 vs 0.3201) and more spread, but median is similar."
noise_equivalent_018,noise_equivalent,PASS,hybrid:gated,hybrid,gated,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
noise_equivalent_018,noise_equivalent,PASS,hybrid:or,hybrid,or,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
noise_equivalent_018,noise_equivalent,PASS,hybrid:and,hybrid,and,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
noise_equivalent_018,noise_equivalent,PASS,ai:summary,ai,summary,deepseek-r1-llm,FAIL,65.0,0,15.13,,,"The canary shows higher variability at the upper end and an upward trend, indicating potential instability despite a slight mean improvement."
noise_equivalent_018,noise_equivalent,PASS,ai:raw,ai,raw,deepseek-r1-llm,PASS,75.0,1,12.12,,,"The experiment shows a higher spread and variability in request durations compared to the control, indicating potential instability."
noise_equivalent_018,noise_equivalent,PASS,hybrid:gated,hybrid,gated,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical,
noise_equivalent_018,noise_equivalent,PASS,hybrid:or,hybrid,or,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;both,
noise_equivalent_018,noise_equivalent,PASS,hybrid:and,hybrid,and,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical,
noise_equivalent_018,noise_equivalent,PASS,ai:plot,ai,plot,moondream-vlm,PASS,100.0,1,2.59,,,<= 60 words
noise_equivalent_018,noise_equivalent,PASS,hybrid:gated,hybrid,gated,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
noise_equivalent_018,noise_equivalent,PASS,hybrid:or,hybrid,or,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
noise_equivalent_018,noise_equivalent,PASS,hybrid:and,hybrid,and,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
noise_equivalent_018,noise_equivalent,PASS,ai:plot,ai,plot,granite-vision-vlm,FAIL,50.0,0,6.57,,,"The canary shows a marginal improvement over the control in terms of HTTP request duration. The median and p90 values are slightly lower, but the spread is similar to the control. There is no clear up"
noise_equivalent_018,noise_equivalent,PASS,hybrid:gated,hybrid,gated,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_018,noise_equivalent,PASS,hybrid:or,hybrid,or,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
noise_equivalent_018,noise_equivalent,PASS,hybrid:and,hybrid,and,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_018,noise_equivalent,PASS,ai:plot,ai,plot,minicpm-v-vlm,PASS,85.0,1,7.77,,,The overall score of 85 indicates a healthy canary with only minor changes in performance metrics compared to the control baseline. While there are slight decreases in some statistics such as p90/p95/
noise_equivalent_018,noise_equivalent,PASS,hybrid:gated,hybrid,gated,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
noise_equivalent_018,noise_equivalent,PASS,hybrid:or,hybrid,or,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
noise_equivalent_018,noise_equivalent,PASS,hybrid:and,hybrid,and,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
noise_equivalent_019,noise_equivalent,PASS,statistical,statistical,,-,PASS,100.0,1,0.03,,,
noise_equivalent_019,noise_equivalent,PASS,ai:summary,ai,summary,qwen-llm,FAIL,35.0,0,5.32,,,Canary shows materially higher tail latencies compared to control.
noise_equivalent_019,noise_equivalent,PASS,ai:raw,ai,raw,qwen-llm,FAIL,45.0,0,2.83,,,"Canary shows higher max duration and increased variance, indicating instability."
noise_equivalent_019,noise_equivalent,PASS,hybrid:gated,hybrid,gated,qwen-llm,FAIL,35.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_019,noise_equivalent,PASS,hybrid:or,hybrid,or,qwen-llm,FAIL,35.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_019,noise_equivalent,PASS,hybrid:and,hybrid,and,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
noise_equivalent_019,noise_equivalent,PASS,ai:summary,ai,summary,phi4-llm,FAIL,70.0,0,9.82,,,"The canary shows a higher mean request duration and worse tail latency metrics than the control. However, it has lower variance and an improved downward trend in slope per sample."
noise_equivalent_019,noise_equivalent,PASS,ai:raw,ai,raw,phi4-llm,FAIL,65.0,0,5.99,,,"The canary shows increased spread and higher tail metrics compared to control, indicating potential instability despite similar median values. This suggests a marginal performance with some risk of de"
noise_equivalent_019,noise_equivalent,PASS,hybrid:gated,hybrid,gated,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical,
noise_equivalent_019,noise_equivalent,PASS,hybrid:or,hybrid,or,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;both,
noise_equivalent_019,noise_equivalent,PASS,hybrid:and,hybrid,and,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical,
noise_equivalent_019,noise_equivalent,PASS,ai:summary,ai,summary,olmo2-llm,FAIL,20.0,0,5.01,,,"The canary shows higher variance and an upward trend in latency, indicating instability compared to the control. This is concerning despite the similar median values."
noise_equivalent_019,noise_equivalent,PASS,ai:raw,ai,raw,olmo2-llm,FAIL,45.0,0,3.16,,,"Higher variance and p95 value suggest instability in the canary version, which is not suitable for promotion."
noise_equivalent_019,noise_equivalent,PASS,hybrid:gated,hybrid,gated,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_019,noise_equivalent,PASS,hybrid:or,hybrid,or,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_019,noise_equivalent,PASS,hybrid:and,hybrid,and,olmo2-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
noise_equivalent_019,noise_equivalent,PASS,ai:summary,ai,summary,mistral-nemo-llm,PASS,75.0,1,11.71,,,Canary shows increased latency at high percentiles. Mean is slightly higher but within acceptable range.
noise_equivalent_019,noise_equivalent,PASS,ai:raw,ai,raw,mistral-nemo-llm,FAIL,45.0,0,4.93,,,"Canary has higher max value (0.2741 vs 0.2366) and larger standard deviation (0.058 vs 0.049), indicating increased instability."
noise_equivalent_019,noise_equivalent,PASS,hybrid:gated,hybrid,gated,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
noise_equivalent_019,noise_equivalent,PASS,hybrid:or,hybrid,or,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
noise_equivalent_019,noise_equivalent,PASS,hybrid:and,hybrid,and,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
noise_equivalent_019,noise_equivalent,PASS,ai:summary,ai,summary,deepseek-r1-llm,FAIL,23.0,0,14.68,,,"The canary shows worse variance, higher max, p90/p95 than the baseline, indicating instability."
noise_equivalent_019,noise_equivalent,PASS,ai:raw,ai,raw,deepseek-r1-llm,PASS,85.0,1,12.77,,,"The canary shows increased variability in request duration, with higher p90/p95/p99 values compared to control. While the median is similar, the greater spread suggests potential instability."
noise_equivalent_019,noise_equivalent,PASS,hybrid:gated,hybrid,gated,deepseek-r1-llm,FAIL,23.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_019,noise_equivalent,PASS,hybrid:or,hybrid,or,deepseek-r1-llm,FAIL,23.0,0,0.0,,ai=summary/Fail;ai,
noise_equivalent_019,noise_equivalent,PASS,hybrid:and,hybrid,and,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
noise_equivalent_019,noise_equivalent,PASS,ai:plot,ai,plot,moondream-vlm,FAIL,70.0,0,2.54,,,<= 60 words
noise_equivalent_019,noise_equivalent,PASS,hybrid:gated,hybrid,gated,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_019,noise_equivalent,PASS,hybrid:or,hybrid,or,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
noise_equivalent_019,noise_equivalent,PASS,hybrid:and,hybrid,and,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_019,noise_equivalent,PASS,ai:plot,ai,plot,granite-vision-vlm,FAIL,50.0,0,6.87,,,"The canary shows a marginal improvement over the control in terms of HTTP request duration. The median and p90 values are similar, but the spread is higher for the canary, indicating some instability."
noise_equivalent_019,noise_equivalent,PASS,hybrid:gated,hybrid,gated,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_019,noise_equivalent,PASS,hybrid:or,hybrid,or,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
noise_equivalent_019,noise_equivalent,PASS,hybrid:and,hybrid,and,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
noise_equivalent_019,noise_equivalent,PASS,ai:plot,ai,plot,minicpm-v-vlm,PASS,85.0,1,7.17,,,"The median of the experiment's duration remains comparable to that of the control, indicating stability. The overall score reflects a healthy canary with no significant deviations from baseline perfor"
noise_equivalent_019,noise_equivalent,PASS,hybrid:gated,hybrid,gated,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
noise_equivalent_019,noise_equivalent,PASS,hybrid:or,hybrid,or,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
noise_equivalent_019,noise_equivalent,PASS,hybrid:and,hybrid,and,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
healed_transient_000,healed_transient,PASS,statistical,statistical,,-,PASS,100.0,1,0.03,,,
healed_transient_000,healed_transient,PASS,ai:summary,ai,summary,qwen-llm,FAIL,25.0,0,5.21,,,Canary shows severe degradation in tail latency metrics.
healed_transient_000,healed_transient,PASS,ai:raw,ai,raw,qwen-llm,FAIL,25.0,0,2.9,,,"Canary shows much higher max and tail latencies, indicating instability."
healed_transient_000,healed_transient,PASS,hybrid:gated,hybrid,gated,qwen-llm,FAIL,25.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:or,hybrid,or,qwen-llm,FAIL,25.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:and,hybrid,and,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
healed_transient_000,healed_transient,PASS,ai:summary,ai,summary,phi4-llm,FAIL,20.0,0,10.12,,,"The canary shows a substantial increase in request duration metrics (mean, p90, p95, p99, max) compared to the control. The larger standard deviation suggests higher variability and potential instabil"
healed_transient_000,healed_transient,PASS,ai:raw,ai,raw,phi4-llm,FAIL,65.0,0,6.27,,,"The canary shows a significantly higher average request duration compared to the control, indicating increased latency. Although there is some improvement towards the end of the experiment data, initi"
healed_transient_000,healed_transient,PASS,hybrid:gated,hybrid,gated,phi4-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:or,hybrid,or,phi4-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:and,hybrid,and,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
healed_transient_000,healed_transient,PASS,ai:summary,ai,summary,olmo2-llm,FAIL,20.0,0,5.83,,,"The canary shows increased variability, a worse performance tail, and an upward trend compared to the control on a critical latency metric, indicating instability and potential issues."
healed_transient_000,healed_transient,PASS,ai:raw,ai,raw,olmo2-llm,FAIL,45.0,0,3.15,,,Higher variance and p95 value suggest instability in the canary compared to stable control metrics.
healed_transient_000,healed_transient,PASS,hybrid:gated,hybrid,gated,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:or,hybrid,or,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:and,hybrid,and,olmo2-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
healed_transient_000,healed_transient,PASS,ai:summary,ai,summary,mistral-nemo-llm,FAIL,45.0,0,11.75,,,Canary shows significant increase in request duration with higher variability and a downward trend.
healed_transient_000,healed_transient,PASS,ai:raw,ai,raw,mistral-nemo-llm,FAIL,35.0,0,4.59,,,"Canary has significantly higher max value (0.3466 vs 0.2166) and wider spread, indicating instability."
healed_transient_000,healed_transient,PASS,hybrid:gated,hybrid,gated,mistral-nemo-llm,FAIL,45.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:or,hybrid,or,mistral-nemo-llm,FAIL,45.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:and,hybrid,and,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
healed_transient_000,healed_transient,PASS,ai:summary,ai,summary,deepseek-r1-llm,FAIL,25.0,0,13.5,,,"The canary shows much worse performance across all metrics compared to the control, indicating instability and potential negative impact."
healed_transient_000,healed_transient,PASS,ai:raw,ai,raw,deepseek-r1-llm,FAIL,50.0,0,11.7,,,"The canary shows much higher variability and extreme values compared to control, indicating potential instability and performance degradation."
healed_transient_000,healed_transient,PASS,hybrid:gated,hybrid,gated,deepseek-r1-llm,FAIL,25.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:or,hybrid,or,deepseek-r1-llm,FAIL,25.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:and,hybrid,and,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
healed_transient_000,healed_transient,PASS,ai:plot,ai,plot,moondream-vlm,FAIL,70.0,0,2.49,,,<= 60 words
healed_transient_000,healed_transient,PASS,hybrid:gated,hybrid,gated,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
healed_transient_000,healed_transient,PASS,hybrid:or,hybrid,or,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
healed_transient_000,healed_transient,PASS,hybrid:and,hybrid,and,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
healed_transient_000,healed_transient,PASS,ai:plot,ai,plot,granite-vision-vlm,FAIL,50.0,0,6.87,,,"The canary shows a marginal improvement over the control in terms of HTTP request duration. The median and p90 values are higher, indicating some variability but not enough to classify it as 'high'. T"
healed_transient_000,healed_transient,PASS,hybrid:gated,hybrid,gated,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
healed_transient_000,healed_transient,PASS,hybrid:or,hybrid,or,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
healed_transient_000,healed_transient,PASS,hybrid:and,hybrid,and,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
healed_transient_000,healed_transient,PASS,ai:plot,ai,plot,minicpm-v-vlm,FAIL,25.0,0,8.33,,,"The canary shows a significantly worse performance compared to the control. The mean duration has increased from 0.2011 seconds in the control group to 0.2775 seconds, indicating an increase of approx"
healed_transient_000,healed_transient,PASS,hybrid:gated,hybrid,gated,minicpm-v-vlm,FAIL,25.0,0,0.0,,ai=plot/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:or,hybrid,or,minicpm-v-vlm,FAIL,25.0,0,0.0,,ai=plot/Fail;ai,
healed_transient_000,healed_transient,PASS,hybrid:and,hybrid,and,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Fail;statistical,
healed_transient_001,healed_transient,PASS,statistical,statistical,,-,PASS,100.0,1,0.03,,,
healed_transient_001,healed_transient,PASS,ai:summary,ai,summary,qwen-llm,FAIL,25.0,0,5.27,,,Canary shows severe degradation in tail latency and variance.
healed_transient_001,healed_transient,PASS,ai:raw,ai,raw,qwen-llm,FAIL,25.0,0,2.89,,,"Canary shows extreme increase in request duration, especially at tails."
healed_transient_001,healed_transient,PASS,hybrid:gated,hybrid,gated,qwen-llm,FAIL,25.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_001,healed_transient,PASS,hybrid:or,hybrid,or,qwen-llm,FAIL,25.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_001,healed_transient,PASS,hybrid:and,hybrid,and,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
healed_transient_001,healed_transient,PASS,ai:summary,ai,summary,phi4-llm,FAIL,20.0,0,10.41,,,"The canary shows a substantial increase in latency metrics (mean, p90, p95, p99, max) compared to the control. The larger standard deviation suggests greater variability and potential instability. Des"
healed_transient_001,healed_transient,PASS,ai:raw,ai,raw,phi4-llm,FAIL,20.0,0,5.72,,,The canary shows a substantial increase in request duration with higher variance and worse tail metrics compared to the control. This indicates instability and degraded performance.
healed_transient_001,healed_transient,PASS,hybrid:gated,hybrid,gated,phi4-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_001,healed_transient,PASS,hybrid:or,hybrid,or,phi4-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_001,healed_transient,PASS,hybrid:and,hybrid,and,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
healed_transient_001,healed_transient,PASS,ai:summary,ai,summary,olmo2-llm,FAIL,20.0,0,5.82,,,"The canary shows increased variability, a worse performance tail, and an upward trend compared to the control on a critical latency metric, indicating instability and potential issues."
healed_transient_001,healed_transient,PASS,ai:raw,ai,raw,olmo2-llm,FAIL,40.0,0,3.15,,,High variance and p95 value indicate instability in the canary compared to stable control metrics.
healed_transient_001,healed_transient,PASS,hybrid:gated,hybrid,gated,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_001,healed_transient,PASS,hybrid:or,hybrid,or,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
healed_transient_001,healed_transient,PASS,hybrid:and,hybrid,and,olmo2-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
healed_transient_001,healed_transient,PASS,ai:summary,ai,summary,mistral-nemo-llm,FAIL,35.0,0,11.37,,,Canary shows significant increase in request duration with higher variability and a slight upward trend.
